__lineyka_row_id,agency_full,#_of_agencies,population,crime_type,YTD,PrevYTD,Percent_Change,YTD_Range,Last Updated
77,"Jefferson Parish, Louisiana",1,321980,Murders,17,17,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
78,"Montgomery County, Maryland",1,896963,Murders,17,17,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
79,"East Baton Rouge Parish, Louisiana",1,197853,Murders,16,34,-52.94%,Jan - Oct 2025,2025-12-16 15:08:46 EST
80,"Greenville County, South Carolina",1,379428,Murders,16,18,-11.11%,Jan - Oct 2025,2025-12-16 15:08:46 EST
81,"Mesa, Arizona",1,515848,Murders,16,12,33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
82,"Portsmouth, Virginia",1,96649,Murders,15,31,-51.61%,Jan - Oct 2025,2025-12-16 15:08:46 EST
83,"Tacoma, Washington",1,222828,Murders,15,19,-21.05%,Jan - Oct 2025,2025-12-16 15:08:46 EST
84,"Vallejo, California",1,122419,Murders,15,20,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
85,"Albany, Georgia",1,66281,Murders,14,16,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
86,"Chattanooga, Tennessee",1,185370,Murders,14,22,-36.36%,Jan - Oct 2025,2025-12-16 15:08:46 EST
87,"Johnston County, North Carolina",1,177923,Murders,14,2,600.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
88,"Killeen, Texas",1,161968,Murders,14,19,-26.32%,Jan - Oct 2025,2025-12-16 15:08:46 EST
89,"Lake Charles, Louisiana",1,76393,Murders,14,10,40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
90,"New Haven, Connecticut",1,141481,Murders,14,9,55.56%,Jan - Sep 2025,2025-12-16 15:08:46 EST
91,"Reno, Nevada",1,277792,Murders,14,18,-22.22%,Jan - Oct 2025,2025-12-16 15:08:46 EST
92,"Springfield, Massachusetts",1,154218,Murders,14,16,-12.50%,Jan - Sep 2025,2025-12-16 15:08:46 EST
93,"Chesterfield County, Virginia",1,385204,Murders,13,11,18.18%,Jan - Sep 2025,2025-12-16 15:08:46 EST
94,"Clarksville, Tennessee",1,181916,Murders,13,8,62.50%,Jan - Sep 2025,2025-12-16 15:08:46 EST
95,"Corpus Christi, Texas",1,315340,Murders,13,25,-48.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
96,"Lexington, Kentucky",1,319994,Murders,13,16,-18.75%,Jan - Oct 2025,2025-12-16 15:08:46 EST
97,"Paterson, New Jersey",1,155991,Murders,13,8,62.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
98,"Sacramento County, California",1,604738,Murders,13,19,-31.58%,Jan - Oct 2025,2025-12-16 15:08:46 EST
99,"Arlington, Texas",1,394799,Murders,12,12,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
100,"Fontana, California",1,214429,Murders,12,2,500.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
101,"Hartford, Connecticut",1,120710,Murders,12,16,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
102,"Horry County, South Carolina",1,302018,Murders,12,7,71.43%,Jan - Aug 2025,2025-12-16 15:08:46 EST
103,"Jackson, Tennessee",1,68470,Murders,12,15,-20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
104,"Knoxville, Tennessee",1,198132,Murders,12,20,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
105,"Mesquite, Texas",1,147926,Murders,12,5,140.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
106,"Toledo, Ohio",1,264341,Murders,12,18,-33.33%,Jan - Jul 2025,2025-12-16 15:08:46 EST
107,"Berkeley County, South Carolina",1,142756,Murders,11,8,37.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
108,"El Paso County, Colorado",1,207095,Murders,11,7,57.14%,Jan - Oct 2025,2025-12-16 15:08:46 EST
109,"Grand Rapids, Michigan",1,196019,Murders,11,11,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
110,"Jersey City, New Jersey",1,285117,Murders,11,6,83.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
111,"Newport News, Virginia",1,183600,Murders,11,17,-35.29%,Jan - Oct 2025,2025-12-16 15:08:46 EST
112,"Roanoke, Virginia",1,96925,Murders,11,7,57.14%,Jan - Sep 2025,2025-12-16 15:08:46 EST
113,"San Diego County, California",1,519218,Murders,11,25,-56.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
114,"St. Paul, Minnesota",1,300368,Murders,11,22,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
115,"Virginia Beach, Virginia",1,453991,Murders,11,12,-8.33%,Jan - Sep 2025,2025-12-16 15:08:46 EST
116,"Lubbock, Texas",1,266960,Murders,10,11,-9.09%,Jan - Oct 2025,2025-12-16 15:08:46 EST
117,"Riverside, California",1,323473,Murders,10,11,-9.09%,Jan - Oct 2025,2025-12-16 15:08:46 EST
118,"Rocky Mount, North Carolina",1,53865,Murders,10,2,400.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
119,"Albany, New York",1,101930,Murders,9,9,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
120,"Anaheim, California",1,343147,Murders,9,10,-10.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
121,"Anderson County, South Carolina",1,164574,Murders,9,7,28.57%,Jan - Oct 2025,2025-12-16 15:08:46 EST
122,"Chesapeake, Virginia",1,254051,Murders,9,9,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
123,"Greeley, Colorado",1,109183,Murders,9,4,125.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
124,"Harrisburg, Pennsylvania",1,50229,Murders,9,12,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
125,"Hidalgo County, Texas",1,260352,Murders,9,8,12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
126,"Montgomery County, Texas",1,565355,Murders,9,9,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
127,"North Charleston, South Carolina",1,120162,Murders,9,13,-30.77%,Jan - Oct 2025,2025-12-16 15:08:46 EST
128,"Reading, Pennsylvania",1,97790,Murders,9,7,28.57%,Jan - Oct 2025,2025-12-16 15:08:46 EST
129,"Rockford, Illinois",1,145873,Murders,9,17,-47.06%,Jan - Oct 2025,2025-12-16 15:08:46 EST
130,"Springfield, Illinois",1,112781,Murders,9,9,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
131,"Springfield, Ohio",1,57866,Murders,9,4,125.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
132,"Beaumont, Texas",1,110671,Murders,8,12,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
133,"Charleston, South Carolina",1,155159,Murders,8,7,14.29%,Jan - Oct 2025,2025-12-16 15:08:46 EST
134,"Glendale, Arizona",1,253768,Murders,8,14,-42.86%,Jan - Sep 2025,2025-12-16 15:08:46 EST
135,"San Bernardino, California",1,219483,Murders,8,8,0.00%,Jan - May 2025,2025-12-16 15:08:46 EST
136,"Santa Fe, New Mexico",1,89657,Murders,8,4,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
137,"Shelby County, Tennessee",1,136188,Murders,8,6,33.33%,Jan - Sep 2025,2025-12-16 15:08:46 EST
138,"Waterbury, Connecticut",1,115380,Murders,8,8,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
139,"Yuma, Arizona",1,99610,Murders,8,2,300.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
140,"Amarillo, Texas",1,201684,Murders,7,10,-30.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
141,"Brockton, Massachusetts",1,108938,Murders,7,7,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
142,"El Paso County, Texas",1,116599,Murders,7,7,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
143,"Gilbert, Arizona",1,278495,Murders,7,1,600.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
144,"Greenville, North Carolina",1,90048,Murders,7,8,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
145,"Gresham, Oregon",1,110225,Murders,7,5,40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
146,"Hayward, California",1,153914,Murders,7,11,-36.36%,Jan - Oct 2025,2025-12-16 15:08:46 EST
147,"Honolulu, Hawaii",1,987546,Murders,7,24,-70.83%,Jan - Oct 2025,2025-12-16 15:08:46 EST
148,"Independence, Missouri",1,120326,Murders,7,8,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
149,"Lynchburg, Virginia",1,79509,Murders,7,9,-22.22%,Jan - Oct 2025,2025-12-16 15:08:46 EST
150,"Mckinney, Texas",1,212716,Murders,7,2,250.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
151,"Pomona, California",1,143578,Murders,7,11,-36.36%,Jan - Oct 2025,2025-12-16 15:08:46 EST
152,"South Bend, Indiana",1,102999,Murders,7,8,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
