__lineyka_row_id,agency_full,population,Percent_Change,YTD_Range,Last Updated
77,"Jefferson Parish, Louisiana",321980,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
78,"Montgomery County, Maryland",896963,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
79,"East Baton Rouge Parish, Louisiana",197853,-52.94%,Jan - Oct 2025,2025-12-16 15:08:46 EST
80,"Greenville County, South Carolina",379428,-11.11%,Jan - Oct 2025,2025-12-16 15:08:46 EST
81,"Mesa, Arizona",515848,33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
82,"Portsmouth, Virginia",96649,-51.61%,Jan - Oct 2025,2025-12-16 15:08:46 EST
83,"Tacoma, Washington",222828,-21.05%,Jan - Oct 2025,2025-12-16 15:08:46 EST
84,"Vallejo, California",122419,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
85,"Albany, Georgia",66281,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
86,"Chattanooga, Tennessee",185370,-36.36%,Jan - Oct 2025,2025-12-16 15:08:46 EST
87,"Johnston County, North Carolina",177923,600.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
88,"Killeen, Texas",161968,-26.32%,Jan - Oct 2025,2025-12-16 15:08:46 EST
89,"Lake Charles, Louisiana",76393,40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
90,"New Haven, Connecticut",141481,55.56%,Jan - Sep 2025,2025-12-16 15:08:46 EST
91,"Reno, Nevada",277792,-22.22%,Jan - Oct 2025,2025-12-16 15:08:46 EST
92,"Springfield, Massachusetts",154218,-12.50%,Jan - Sep 2025,2025-12-16 15:08:46 EST
93,"Chesterfield County, Virginia",385204,18.18%,Jan - Sep 2025,2025-12-16 15:08:46 EST
94,"Clarksville, Tennessee",181916,62.50%,Jan - Sep 2025,2025-12-16 15:08:46 EST
95,"Corpus Christi, Texas",315340,-48.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
96,"Lexington, Kentucky",319994,-18.75%,Jan - Oct 2025,2025-12-16 15:08:46 EST
97,"Paterson, New Jersey",155991,62.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
98,"Sacramento County, California",604738,-31.58%,Jan - Oct 2025,2025-12-16 15:08:46 EST
99,"Arlington, Texas",394799,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
100,"Fontana, California",214429,500.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
101,"Hartford, Connecticut",120710,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
102,"Horry County, South Carolina",302018,71.43%,Jan - Aug 2025,2025-12-16 15:08:46 EST
103,"Jackson, Tennessee",68470,-20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
104,"Knoxville, Tennessee",198132,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
105,"Mesquite, Texas",147926,140.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
106,"Toledo, Ohio",264341,-33.33%,Jan - Jul 2025,2025-12-16 15:08:46 EST
107,"Berkeley County, South Carolina",142756,37.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
108,"El Paso County, Colorado",207095,57.14%,Jan - Oct 2025,2025-12-16 15:08:46 EST
109,"Grand Rapids, Michigan",196019,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
110,"Jersey City, New Jersey",285117,83.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
111,"Newport News, Virginia",183600,-35.29%,Jan - Oct 2025,2025-12-16 15:08:46 EST
112,"Roanoke, Virginia",96925,57.14%,Jan - Sep 2025,2025-12-16 15:08:46 EST
113,"San Diego County, California",519218,-56.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
114,"St. Paul, Minnesota",300368,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
115,"Virginia Beach, Virginia",453991,-8.33%,Jan - Sep 2025,2025-12-16 15:08:46 EST
116,"Lubbock, Texas",266960,-9.09%,Jan - Oct 2025,2025-12-16 15:08:46 EST
117,"Riverside, California",323473,-9.09%,Jan - Oct 2025,2025-12-16 15:08:46 EST
118,"Rocky Mount, North Carolina",53865,400.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
119,"Albany, New York",101930,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
120,"Anaheim, California",343147,-10.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
121,"Anderson County, South Carolina",164574,28.57%,Jan - Oct 2025,2025-12-16 15:08:46 EST
122,"Chesapeake, Virginia",254051,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
123,"Greeley, Colorado",109183,125.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
124,"Harrisburg, Pennsylvania",50229,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
125,"Hidalgo County, Texas",260352,12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
126,"Montgomery County, Texas",565355,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
127,"North Charleston, South Carolina",120162,-30.77%,Jan - Oct 2025,2025-12-16 15:08:46 EST
128,"Reading, Pennsylvania",97790,28.57%,Jan - Oct 2025,2025-12-16 15:08:46 EST
129,"Rockford, Illinois",145873,-47.06%,Jan - Oct 2025,2025-12-16 15:08:46 EST
130,"Springfield, Illinois",112781,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
131,"Springfield, Ohio",57866,125.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
132,"Beaumont, Texas",110671,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
133,"Charleston, South Carolina",155159,14.29%,Jan - Oct 2025,2025-12-16 15:08:46 EST
134,"Glendale, Arizona",253768,-42.86%,Jan - Sep 2025,2025-12-16 15:08:46 EST
135,"San Bernardino, California",219483,0.00%,Jan - May 2025,2025-12-16 15:08:46 EST
136,"Santa Fe, New Mexico",89657,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
137,"Shelby County, Tennessee",136188,33.33%,Jan - Sep 2025,2025-12-16 15:08:46 EST
138,"Waterbury, Connecticut",115380,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
139,"Yuma, Arizona",99610,300.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
140,"Amarillo, Texas",201684,-30.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
141,"Brockton, Massachusetts",108938,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
142,"El Paso County, Texas",116599,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
143,"Gilbert, Arizona",278495,600.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
144,"Greenville, North Carolina",90048,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
145,"Gresham, Oregon",110225,40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
146,"Hayward, California",153914,-36.36%,Jan - Oct 2025,2025-12-16 15:08:46 EST
147,"Honolulu, Hawaii",987546,-70.83%,Jan - Oct 2025,2025-12-16 15:08:46 EST
148,"Independence, Missouri",120326,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
149,"Lynchburg, Virginia",79509,-22.22%,Jan - Oct 2025,2025-12-16 15:08:46 EST
150,"Mckinney, Texas",212716,250.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
151,"Pomona, California",143578,-36.36%,Jan - Oct 2025,2025-12-16 15:08:46 EST
152,"South Bend, Indiana",102999,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
