__lineyka_row_id,agency_full,population,Percent_Change,YTD_Range,Last Updated
1,"Jefferson Parish, Louisiana",321980,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
2,"Montgomery County, Maryland",896963,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
3,"East Baton Rouge Parish, Louisiana",197853,-52.94%,Jan - Oct 2025,2025-12-16 15:08:46 EST
4,"Greenville County, South Carolina",379428,-11.11%,Jan - Oct 2025,2025-12-16 15:08:46 EST
5,"Mesa, Arizona",515848,33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
6,"Portsmouth, Virginia",96649,-51.61%,Jan - Oct 2025,2025-12-16 15:08:46 EST
7,"Tacoma, Washington",222828,-21.05%,Jan - Oct 2025,2025-12-16 15:08:46 EST
8,"Vallejo, California",122419,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
9,"Albany, Georgia",66281,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
10,"Chattanooga, Tennessee",185370,-36.36%,Jan - Oct 2025,2025-12-16 15:08:46 EST
11,"Johnston County, North Carolina",177923,600.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
12,"Killeen, Texas",161968,-26.32%,Jan - Oct 2025,2025-12-16 15:08:46 EST
13,"Lake Charles, Louisiana",76393,40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
14,"New Haven, Connecticut",141481,55.56%,Jan - Sep 2025,2025-12-16 15:08:46 EST
15,"Reno, Nevada",277792,-22.22%,Jan - Oct 2025,2025-12-16 15:08:46 EST
16,"Springfield, Massachusetts",154218,-12.50%,Jan - Sep 2025,2025-12-16 15:08:46 EST
17,"Chesterfield County, Virginia",385204,18.18%,Jan - Sep 2025,2025-12-16 15:08:46 EST
18,"Clarksville, Tennessee",181916,62.50%,Jan - Sep 2025,2025-12-16 15:08:46 EST
19,"Corpus Christi, Texas",315340,-48.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
20,"Lexington, Kentucky",319994,-18.75%,Jan - Oct 2025,2025-12-16 15:08:46 EST
21,"Paterson, New Jersey",155991,62.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
22,"Sacramento County, California",604738,-31.58%,Jan - Oct 2025,2025-12-16 15:08:46 EST
23,"Arlington, Texas",394799,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
24,"Fontana, California",214429,500.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
25,"Hartford, Connecticut",120710,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
26,"Horry County, South Carolina",302018,71.43%,Jan - Aug 2025,2025-12-16 15:08:46 EST
27,"Jackson, Tennessee",68470,-20.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
28,"Knoxville, Tennessee",198132,-40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
29,"Mesquite, Texas",147926,140.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
30,"Toledo, Ohio",264341,-33.33%,Jan - Jul 2025,2025-12-16 15:08:46 EST
31,"Berkeley County, South Carolina",142756,37.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
32,"El Paso County, Colorado",207095,57.14%,Jan - Oct 2025,2025-12-16 15:08:46 EST
33,"Grand Rapids, Michigan",196019,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
34,"Jersey City, New Jersey",285117,83.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
35,"Newport News, Virginia",183600,-35.29%,Jan - Oct 2025,2025-12-16 15:08:46 EST
36,"Roanoke, Virginia",96925,57.14%,Jan - Sep 2025,2025-12-16 15:08:46 EST
37,"San Diego County, California",519218,-56.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
38,"St. Paul, Minnesota",300368,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
39,"Virginia Beach, Virginia",453991,-8.33%,Jan - Sep 2025,2025-12-16 15:08:46 EST
40,"Lubbock, Texas",266960,-9.09%,Jan - Oct 2025,2025-12-16 15:08:46 EST
41,"Riverside, California",323473,-9.09%,Jan - Oct 2025,2025-12-16 15:08:46 EST
42,"Rocky Mount, North Carolina",53865,400.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
43,"Albany, New York",101930,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
44,"Anaheim, California",343147,-10.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
45,"Anderson County, South Carolina",164574,28.57%,Jan - Oct 2025,2025-12-16 15:08:46 EST
46,"Chesapeake, Virginia",254051,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
47,"Greeley, Colorado",109183,125.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
48,"Harrisburg, Pennsylvania",50229,-25.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
49,"Hidalgo County, Texas",260352,12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
50,"Montgomery County, Texas",565355,0.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
51,"North Charleston, South Carolina",120162,-30.77%,Jan - Oct 2025,2025-12-16 15:08:46 EST
52,"Reading, Pennsylvania",97790,28.57%,Jan - Oct 2025,2025-12-16 15:08:46 EST
53,"Rockford, Illinois",145873,-47.06%,Jan - Oct 2025,2025-12-16 15:08:46 EST
54,"Springfield, Illinois",112781,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
55,"Springfield, Ohio",57866,125.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
56,"Beaumont, Texas",110671,-33.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
57,"Charleston, South Carolina",155159,14.29%,Jan - Oct 2025,2025-12-16 15:08:46 EST
58,"Glendale, Arizona",253768,-42.86%,Jan - Sep 2025,2025-12-16 15:08:46 EST
59,"San Bernardino, California",219483,0.00%,Jan - May 2025,2025-12-16 15:08:46 EST
60,"Santa Fe, New Mexico",89657,100.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
61,"Shelby County, Tennessee",136188,33.33%,Jan - Sep 2025,2025-12-16 15:08:46 EST
62,"Waterbury, Connecticut",115380,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
63,"Yuma, Arizona",99610,300.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
64,"Amarillo, Texas",201684,-30.00%,Jan - Aug 2025,2025-12-16 15:08:46 EST
65,"Brockton, Massachusetts",108938,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
66,"El Paso County, Texas",116599,0.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
67,"Gilbert, Arizona",278495,600.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
68,"Greenville, North Carolina",90048,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
69,"Gresham, Oregon",110225,40.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
70,"Hayward, California",153914,-36.36%,Jan - Oct 2025,2025-12-16 15:08:46 EST
71,"Honolulu, Hawaii",987546,-70.83%,Jan - Oct 2025,2025-12-16 15:08:46 EST
72,"Independence, Missouri",120326,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
73,"Lynchburg, Virginia",79509,-22.22%,Jan - Oct 2025,2025-12-16 15:08:46 EST
74,"Mckinney, Texas",212716,250.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
75,"Pomona, California",143578,-36.36%,Jan - Oct 2025,2025-12-16 15:08:46 EST
76,"South Bend, Indiana",102999,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
77,"Spokane, Washington",230648,-50.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
78,"Springfield, Missouri",170521,-12.50%,Jan - Sep 2025,2025-12-16 15:08:46 EST
79,"Victoria, Texas",65298,600.00%,Jan - Oct 2025,2025-12-16 15:08:46 EST
80,"Waco, Texas",145741,-12.50%,Jan - Oct 2025,2025-12-16 15:08:46 EST
81,"Warner Robins, Georgia",82991,75.00%,Jan - Sep 2025,2025-12-16 15:08:46 EST
82,"Williamson County, Texas",202897,133.33%,Jan - Oct 2025,2025-12-16 15:08:46 EST
83,"Wilmington, North Carolina",122675,16.67%,Jan - Oct 2025,2025-12-16 15:08:46 EST
