date,yhat,lower,upper,scenario
2025-07-01,7653.497308184203,3497.9503637216085,11809.044252646796,baseline
2025-08-01,8550.052304294513,4394.505359831919,12705.599248757107,baseline
2025-09-01,7959.189726502469,3803.642782039875,12114.736670965063,baseline
2025-10-01,8575.008370494223,4419.461426031628,12730.555314956817,baseline
2025-11-01,8791.992472438365,4636.445527975771,12947.53941690096,baseline
2025-12-01,8507.196492527124,4351.64954806453,12662.743436989718,baseline
2026-01-01,8352.797254371442,4197.250309908848,12508.344198834036,baseline
2026-02-01,8450.196289258469,4294.649344795875,12605.743233721063,baseline
2026-03-01,8892.10111936111,4736.554174898516,13047.648063823704,baseline
2026-04-01,8438.2177873005,4282.670842837906,12593.764731763094,baseline
2026-05-01,8878.849045337312,4723.302100874718,13034.395989799907,baseline
2026-06-01,8752.279446615761,4596.732502153167,12907.826391078355,baseline
