date,yhat,lower,upper,scenario
2025-01-01,139.36584579994178,137.66980436272215,141.06188723716141,baseline
2025-02-01,142.7907242143691,141.09468277714947,144.48676565158874,baseline
2025-03-01,145.05845929307426,143.36241785585463,146.7545007302939,baseline
2025-04-01,145.30533216309385,143.60929072587422,147.00137360031349,baseline
2025-05-01,145.10225157223766,143.40621013501803,146.7982930094573,baseline
2025-06-01,142.4446356750186,140.74859423779895,144.14067711223822,baseline
2025-07-01,140.52298014431472,138.82693870709508,142.21902158153435,baseline
2025-08-01,138.7686951412746,137.07265370405497,140.46473657849424,baseline
2025-09-01,139.08046716946103,137.3844257322414,140.77650860668066,baseline
2025-10-01,139.43349146099033,137.7374500237707,141.12953289820996,baseline
2025-11-01,141.65966334320055,139.96362190598092,143.35570478042018,baseline
2025-12-01,144.74087435864186,143.04483292142223,146.4369157958615,baseline
