agency_full,#_of_agencies,population,crime_type,YTD,PrevYTD,Percent_Change,YTD_Range,Last Updated
"Chicago, Illinois",1,2628298,"Murders",366,506,-27.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"New York City, New York",1,8184044,"Murders",262,318,-17.61%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Houston, Texas",1,2304406,"Murders",227,272,-16.54%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Los Angeles, California",1,3786018,"Murders",194,239,-18.83%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Philadelphia, Pennsylvania",1,1550843,"Murders",184,218,-15.60%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Memphis, Tennessee",1,616061,"Murders",161,201,-19.90%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Detroit, Michigan",1,615501,"Murders",145,173,-16.18%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"St Louis, Missouri",1,280108,"Murders",121,124,-2.42%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Kansas City, Missouri",1,509855,"Murders",119,125,-4.80%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Los Angeles County, California",1,1008018,"Murders",118,139,-15.11%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Washington, District of Columbia",1,678972,"Murders",117,162,-27.78%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Milwaukee, Wisconsin",1,558698,"Murders",115,111,3.60%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Dallas, Texas",1,1304989,"Murders",112,152,-26.32%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Indianapolis, Indiana",1,887131,"Murders",111,147,-24.49%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Baltimore, Maryland",1,565192,"Murders",108,164,-34.15%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"New Orleans, Louisiana",1,364197,"Murders",98,106,-7.55%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Louisville, Kentucky",1,669468,"Murders",97,136,-28.68%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Cleveland, Ohio",1,358146,"Murders",89,92,-3.26%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"San Antonio, Texas",1,1490047,"Murders",88,110,-20.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
